iter	Passed	Remaining
829	2648	542
830	2650	539
831	2652	535
832	2654	532
833	2657	528
834	2659	525
835	2661	522
836	2664	518
837	2666	515
838	2668	512
839	2670	508
840	2673	505
841	2675	502
842	2677	498
843	2679	495
844	2682	491
845	2684	488
846	2686	485
847	2688	481
848	2690	478
849	2692	475
850	2694	471
851	2697	468
852	2699	465
853	2701	461
854	2703	458
855	2705	455
856	2707	451
857	2709	448
858	2712	445
859	2714	441
860	2716	438
861	2718	435
862	2720	431
863	2722	428
864	2725	425
865	2727	422
866	2729	418
867	2732	415
868	2734	412
869	2736	408
870	2738	405
871	2740	402
872	2742	399
873	2745	395
874	2747	392
875	2749	389
876	2752	385
877	2754	382
878	2756	379
879	2759	376
880	2761	372
881	2763	369
882	2765	366
883	2767	363
884	2770	359
885	2772	356
886	2774	353
887	2777	350
888	2779	347
889	2781	343
890	2783	340
891	2785	337
892	2788	334
893	2790	330
894	2792	327
895	2794	324
896	2797	321
897	2799	317
898	2801	314
899	2803	311
900	2805	308
901	2808	305
902	2810	301
903	2812	298
904	2814	295
905	2817	292
906	2819	289
907	2821	285
908	2823	282
909	2826	279
910	2828	276
911	2831	273
912	2833	270
913	2835	266
914	2837	263
915	2839	260
916	2842	257
917	2844	254
918	2846	250
919	2848	247
920	2850	244
921	2853	241
922	2855	238
923	2857	235
924	2859	231
925	2861	228
926	2864	225
927	2866	222
928	2869	219
929	2871	216
930	2873	212
931	2875	209
932	2877	206
933	2880	203
934	2882	200
935	2884	197
936	2886	194
937	2888	190
938	2891	187
939	2893	184
940	2895	181
941	2897	178
942	2899	175
943	2901	172
944	2903	169
945	2906	165
946	2908	162
947	2910	159
948	2913	156
949	2915	153
950	2917	150
951	2919	147
952	2921	144
953	2923	140
954	2926	137
955	2928	134
956	2930	131
957	2932	128
958	2934	125
959	2936	122
960	2939	119
961	2941	116
962	2943	113
963	2945	109
964	2947	106
965	2949	103
966	2951	100
967	2953	97
968	2956	94
969	2958	91
970	2960	88
971	2963	85
972	2965	82
973	2967	79
974	2969	76
975	2971	73
976	2974	70
977	2976	66
978	2978	63
979	2980	60
980	2982	57
981	2985	54
982	2987	51
983	2990	48
984	2992	45
985	2994	42
986	2997	39
987	2999	36
988	3001	33
989	3003	30
990	3005	27
991	3008	24
992	3010	21
993	3013	18
994	3015	15
995	3017	12
996	3019	9
997	3022	6
998	3024	3
999	3026	0
